epoch,G_loss,D_loss,kimg_acu,kimg,run_id,,,,,,,,
12.56470592,0.81090884,1.289081961,504.0960016,4.015999794,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.66440682,0.743479098,1.319206703,508.0960016,8.015999794,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.76410772,0.75281275,1.317130138,512.0960016,12.01599979,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.86380864,0.762632304,1.305955219,516.0960026,16.01600075,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
12.96350954,0.763780575,1.299559544,520.0960026,20.01600075,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.06321043,0.799029135,1.267021865,524.0960026,24.01600075,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.16291133,0.75415272,1.308024233,528.0960026,28.01600075,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.26261218,0.759792106,1.310777518,532.0960007,32.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.36231308,0.75143277,1.313307318,536.0960007,36.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.46201397,0.802142229,1.286620716,540.0960007,40.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.56171487,0.744283234,1.313720901,544.0960007,44.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.66141577,0.740020372,1.322504433,548.0960007,48.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.76111667,0.755426938,1.314392937,552.0960007,52.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.86081756,0.775965743,1.290588542,556.0960007,56.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
13.96051846,0.761959231,1.298292439,560.0960007,60.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.06021936,0.762557399,1.302158925,564.0960007,64.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.15992026,0.789129066,1.285001189,568.0960007,68.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.25962115,0.744672033,1.312527664,572.0960007,72.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.35932205,0.760161731,1.302985362,576.0960007,76.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.45902295,0.773262127,1.290137078,580.0960007,80.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.55872385,0.757390714,1.300916919,584.0960007,84.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.65842474,0.749198364,1.3111738,588.0960007,88.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.75812564,0.793651622,1.286156621,592.0960007,92.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.85782654,0.747607572,1.307968865,596.0960007,96.01599884,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
14.95752743,0.776346694,1.289468862,600.0960007,100.0159988,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
15.05722833,0.747130324,1.311026696,604.0960007,104.0159988,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
15.15692923,0.767474673,1.295053163,608.0960007,108.0159988,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
15.25663013,0.774763623,1.288429695,612.0960007,112.0159988,00005-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
15.25702893,0.898308516,1.272603035,612.1120007,0.016000001,00006-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
15.35672982,0.810405639,1.252977867,616.1120005,4.015999794,00006-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
15.45643072,0.761080357,1.290848247,620.1120005,8.015999794,00006-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
